post_id,title,category,score,num_comments,author,collected_at
47641615,sopwith – 1984 game (2000),sports,97,42,elvis70,2026-04-06T19:28:24.808685
47650894,"show hn: gecit – dpi bypass using ebpf sock_ops, no proxy or vpn",entertainment,8,2,boratanrikulu,2026-04-06T19:28:32.400027
47638147,"show hn: pluck – copy any ui from any website, paste it into ai coding tools",entertainment,19,17,bring-shrubbery,2026-04-06T19:28:38.087892
47650234,panorama – ai that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-06T19:28:42.865667
47649904,will there still be professional software developers?,worldnews,4,1,gradys,2026-04-06T19:28:50.413485
47606560,"show hn: dull – instagram without reels, youtube without shorts (ios)",entertainment,152,118,kasparnoor,2026-04-06T19:28:56.806023
47650273,"meta, google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06T19:28:59.692962
47626598,show hn: ctx – an agentic development environment (ade),entertainment,52,52,luca-ctx,2026-04-06T19:29:02.498708
47627419,the axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06T19:29:05.449238
47630109,firm boosts h.264 streaming license fees from $100k up to staggering $4.5m,entertainment,193,75,MaximilianEmel,2026-04-06T19:29:09.297157
47648593,show hn: beautiful intuitive weather forecasts that don't rely on numbers/units,entertainment,3,8,Leftium,2026-04-06T19:29:12.914805
47604155,spacex files to go public,science,398,576,nutjob2,2026-04-06T19:29:13.929529
47643637,show hn: dev personality test,entertainment,14,3,4m1rk,2026-04-06T19:29:15.843915
47642275,"netflix must refund customers for years of price hikes, italian court rules",entertainment,63,6,xbmcuser,2026-04-06T19:29:19.542843
47635033,show hn: travel hacking toolkit – points search and trip planning with ai,entertainment,95,39,borski,2026-04-06T19:29:22.243813
47621438,show hn: made a little artemis ii tracker,entertainment,153,58,codingmoh,2026-04-06T19:29:23.202945
47625311,bun: cgroup-aware availableparallelism / hardwareconcurrency on linux,worldnews,45,24,tosh,2026-04-06T19:29:25.133970
47648226,spacex and openai: the mega ipo grift [video],science,26,10,throw0101c,2026-04-06T19:29:27.048906
47615756,renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06T19:29:33.099495
47651140,ask hn: where are all the disruptive software that ai promised?,worldnews,16,14,p-o,2026-04-06T19:29:47.206003
47644934,"delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06T19:29:54.775951
47653816,uk intelligence censored report on global warming and homeland security,worldnews,95,54,ewidar,2026-04-06T19:30:10.246393
47632504,"""cognitive surrender"" leads ai users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06T19:30:22.559847
47624317,new rowhammer attacks give complete control of machines running nvidia gpus,worldnews,132,10,01-_-,2026-04-06T19:30:36.158914
47617217,show hn: i tested 15 free ai models at building real software on a $25/year vps,worldnews,36,7,j0rg3,2026-04-06T19:30:46.558718
47648102,every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06T19:30:59.366245
47651019,ps3 emulator makes cell cpu breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06T19:31:03.196075
47607394,solvespace (open source 2d/3d cad) working on windows 2000 (2025),science,40,6,ruevs,2026-04-06T19:31:04.162973
47618221,the australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06T19:31:07.365045
47642552,nandgame – build a computer from scratch,sports,7,0,Vortigaunt,2026-04-06T19:31:12.159859
47657396,us-iran war explained by chinese ai animation: legend of the valley of gold [video],worldnews,5,0,Eridanus2,2026-04-06T19:31:26.557997
47616157,software never had a soul,worldnews,20,17,firloop,2026-04-06T19:31:29.435354
47645926,the spaceballs sequel will be released in april next year,science,8,1,WaitWaitWha,2026-04-06T19:31:33.259558
47656678,"musk asks spacex ipo banks to buy grok ai subscriptions, nyt reports",science,8,0,1vuio0pswjnm7,2026-04-06T19:31:34.238568
47623053,"show hn: minimal brain teaser web game (handcrafted, no ai)",sports,25,14,arttaboi,2026-04-06T19:31:35.192943
47650022,banray.eu: raising awareness of the terrible idea that is always-on ai glasses,worldnews,35,19,ChrisArchitect,2026-04-06T19:31:43.382398
47651502,the therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06T19:31:45.277215
47645240,spacex pushes back crucial starship test launch,science,14,11,bookmtn,2026-04-06T19:31:58.552378
47638085,i attacked myself with google spreadsheets (2012),worldnews,3,1,downbad_,2026-04-06T19:32:02.999273
47633734,enigma½ bbs software,worldnews,10,1,NuSkooler,2026-04-06T19:32:10.488116
47632901,sandbox strategy game for ai,sports,6,0,Stefan_Golas,2026-04-06T19:32:26.870077
47602986,show hn: real-time dashboard for claude code agent teams,sports,76,28,simple10,2026-04-06T19:32:41.825479
47654226,trump proposes steep cut to nasa budget as astronauts head for the moon,science,8,0,rbanffy,2026-04-06T19:33:03.506785
47645696,towards end-to-end automation of ai research,science,6,0,hardmaru,2026-04-06T19:33:20.874987
